ID,cidade,UF,regiao,pais
73,"Guará",DF,Centro-Oeste,Brasil
74,Sobradinho,DF,Centro-Oeste,Brasil
75,Mirassol,SP,Sudeste,Brasil
76,"Santa Maria",RS,Sul,Brasil
77,"Poços de Caldas",MG,Sudeste,Brasil
78,"Corumbá",MS,Centro-Oeste,Brasil
79,"Mossoró",RN,Nordeste,Brasil
80,Franca,SP,Sudeste,Brasil
81,"Propriá",SE,Nordeste,Brasil
82,Lages,SC,Sul,Brasil
83,"Tubarão",SC,Sul,Brasil
84,"Cornélio Procópio",PR,Sul,Brasil
85,Cruzeiro,DF,Centro-Oeste,Brasil
86,Blumenau,SC,Sul,Brasil
87,Videira,SC,Sul,Brasil
88,"Sabará",MG,Sudeste,Brasil
89,"Mogi Mirim",SP,Sudeste,Brasil
90,Itu,SP,Sudeste,Brasil
91,Varginha,MG,Sudeste,Brasil
92,"Marília",SP,Sudeste,Brasil
93,"Jundiaí",SP,Sudeste,Brasil
94,Sobral,CE,Nordeste,Brasil
95,"Rondonópolis",MT,Centro-Oeste,Brasil
96,Goiatuba,GO,Centro-Oeste,Brasil
97,"Lucas do Rio Verde",MT,Centro-Oeste,Brasil
98,"Juazeiro do Norte",CE,Nordeste,Brasil
99,"Guaratinguetá",SP,Sudeste,Brasil
100,Brusque,SC,Sul,Brasil
101,Itaperuna,RJ,Sudeste,Brasil
102,"Novo Horizonte",SP,Sudeste,Brasil
103,"Juiz de Fora",MG,Sudeste,Brasil
104,"Rio Branco",AC,Norte,Brasil
105,"Itajaí",SC,Sul,Brasil
106,"Duque de Caxias",RJ,Sudeste,Brasil
