id,partida_id,jogador_id,clube_id,tipo_evento,tipo_gol,minuto
606,79,58,5,Gol,Normal,9
607,79,306,5,Substituição,,
608,79,282,11,Gol,Normal,51
609,79,382,11,Substituição,,
610,79,361,5,Entrou,,
611,79,57,5,Entrou,,
612,79,129,11,Entrou,,
613,80,17,2,Gol,Normal,31
614,80,17,2,Substituição,,
615,80,24,2,Substituição,,
616,80,21,2,Gol,Normal,62
617,80,22,2,Gol,Normal,41
618,80,39,4,Substituição,,
619,80,41,4,Substituição,,
620,80,19,2,Entrou,,
621,80,384,2,Entrou,,
622,80,362,4,Entrou,,
623,80,44,4,Entrou,,
624,81,91,8,Gol,Normal,82
625,81,95,8,Substituição,,
626,81,212,18,Substituição,,
627,81,223,18,Substituição,,
628,81,385,8,Entrou,,
629,81,374,18,Entrou,,
630,81,221,18,Entrou,,
631,82,228,19,Substituição,,
632,82,230,19,Substituição,,
633,82,196,15,Gol,Normal,11
634,82,386,19,Entrou,,
635,82,301,19,Entrou,,
636,83,379,17,Substituição,,
637,83,210,17,Substituição,,
638,83,209,17,Entrou,,
639,83,292,17,Entrou,,
640,84,168,14,Substituição,,
641,84,308,14,Substituição,,
642,84,244,20,Gol,Normal,15
643,84,249,20,Substituição,,
644,84,164,14,Entrou,,
645,84,297,14,Entrou,,
646,84,331,20,Entrou,,
647,85,270,7,Gol,Normal,38
648,85,270,7,Substituição,,
649,85,80,7,Gol,Normal,49
650,85,151,13,Gol,Normal,41
651,85,157,13,Substituição,,
652,85,351,13,Gol,Normal,88
653,85,84,7,Entrou,,
654,85,321,13,Entrou,,
655,86,287,9,Gol,Normal,35
656,86,101,9,Substituição,,
657,86,107,9,Substituição,,
658,86,341,4,Substituição,,
659,86,363,4,Substituição,,
660,86,106,9,Entrou,,
661,86,289,9,Entrou,,
662,86,47,4,Entrou,,
663,86,272,4,Entrou,,
664,87,256,10,Gol,Normal,8
665,87,24,2,Substituição,,
666,87,19,2,Entrou,,
667,88,259,12,Substituição,,
668,88,144,12,Substituição,,
669,88,257,1,Substituição,,
670,88,339,1,Substituição,,
671,88,141,12,Entrou,,
672,88,390,12,Entrou,,
673,88,391,1,Entrou,,
674,88,10,1,Entrou,,
675,89,33,3,Substituição,,
676,89,34,3,Gol,Normal,35
677,89,34,3,Gol,Normal,89
678,89,279,5,Substituição,,
679,89,54,5,Gol,Normal,38
680,89,54,5,Gol,Normal,83
681,89,306,5,Substituição,,
682,89,378,3,Entrou,,
683,89,361,5,Entrou,,
684,89,57,5,Entrou,,
685,90,132,11,Gol,Normal,27
686,90,132,11,Gol,Normal,63
687,90,273,6,Substituição,,
688,90,68,6,Substituição,,
689,90,344,6,Gol,Normal,76
690,90,63,6,Entrou,,
691,90,324,6,Entrou,,
692,91,355,2,Substituição,,
693,91,24,2,Substituição,,
694,91,380,16,Substituição,,
695,91,393,2,Entrou,,
696,91,384,2,Entrou,,
697,91,302,16,Entrou,,
698,92,104,9,Substituição,,
699,92,360,9,Substituição,,
700,92,91,8,Gol,Normal,44
701,92,91,8,Substituição,,
702,92,106,9,Entrou,,
703,92,252,9,Entrou,,
704,92,394,8,Entrou,,
705,93,223,18,Substituição,,
706,93,282,11,Substituição,,
707,93,221,18,Entrou,,
708,93,129,11,Entrou,,
709,94,176,15,Gol,Normal,90+1
710,94,177,15,Substituição,,
711,94,196,15,Substituição,,
712,94,256,10,Gol,Normal,16
713,94,118,10,Gol,Normal,28
714,94,342,10,Substituição,,
715,94,299,15,Entrou,,
716,94,323,15,Entrou,,
717,94,395,10,Entrou,,
718,95,270,7,Substituição,,
719,95,306,5,Substituição,,
720,95,84,7,Entrou,,
721,95,57,5,Entrou,,
722,96,231,19,Cartão Vermelho,,
723,96,231,19,Substituição,,
724,96,232,19,Gol,Normal,24
725,96,235,19,Gol,Normal,80
726,96,145,12,Substituição,,
727,96,234,19,Entrou,,
728,96,397,12,Entrou,,
729,97,245,20,Substituição,,
730,97,250,20,Substituição,,
731,97,11,1,Substituição,,
732,97,331,20,Entrou,,
733,97,241,20,Entrou,,
734,97,347,1,Entrou,,
735,98,166,14,Substituição,,
736,98,167,14,Substituição,,
737,98,324,6,Substituição,,
738,98,297,14,Entrou,,
739,98,308,14,Entrou,,
740,98,70,6,Entrou,,
741,99,318,13,Substituição,,
742,99,351,13,Substituição,,
743,99,43,4,Substituição,,
744,99,272,4,Substituição,,
745,99,156,13,Entrou,,
746,99,321,13,Entrou,,
747,99,321,13,Gol,Normal,76
748,99,370,4,Entrou,,
749,99,45,4,Entrou,,
750,100,263,17,Substituição,,
751,100,28,3,Gol,Normal,18
752,100,335,3,Substituição,,
753,100,34,3,Gol,Normal,12
754,100,260,17,Entrou,,
755,100,338,3,Entrou,,
756,101,94,8,Substituição,,
757,101,30,3,Substituição,,
758,101,335,3,Substituição,,
759,101,394,8,Entrou,,
760,101,402,3,Entrou,,
761,101,338,3,Entrou,,
762,102,113,10,Gol,Normal,63
763,102,116,10,Substituição,,
764,102,314,19,Substituição,,
765,102,300,19,Gol,Normal,6
766,102,119,10,Entrou,,
767,102,309,19,Entrou,,
768,103,400,3,Gol,Normal,
769,103,30,3,Gol,Normal,38
770,103,335,3,Substituição,,
