Nome,Primeira_Alcunha,Mascote,Fundação
Clube Esportivo Nova Esperança,,N/A,15 de dezembrode1999[3]
Friburguense Atlético Clube,,Vovô Chopão,14 de marçode1980(45 anos)[3]
Juazeiro Social Clube,,Carranca(Assombroso)[3],16 de agostode1995(29 anos)[4]
Palmas Futebol e Regatas,,Arara-azul,31 de janeirode1997(28 anos)
Ypiranga Clube,,Coruja[1],15 de maiode1963(62 anos)
Atlético Roraima Clube,,Cartola,1 de outubrode1944(80 anos)
Baré Esporte Clube,,Índio,26 de outubrode1946(78 anos)
Floresta Esporte Clube,,Lobo,9 de novembrode1954(70 anos)
Iraty Sport Club,,Azulão,21 de abrilde1914(111 anos)
Rio Branco Sport Club,,Leão,13 de outubrode1913(111 anos)
Associação Acadêmica e Desportiva Vitória das Tabocas,,Taboquito,6 de maiode2008(17 anos)
Canoas Sport Club,Canoense,Leão Jubão,23 de janeirode1998(27 anos)
Sport Club Corinthians Alagoano,,Gavião,4 de abrilde1991
Sociedade Esportiva Matsubara .,N/A,Japonesinho,18 de dezembrode1974
Associação Atlética Portuguesa,,Cachopinha,20 de novembrode1917(107 anos)[5]
Tubarão Futebol Clube,,N/A,30 de maiode1992(33 anos)[1][3]
Atlético Acreano,,Galo,27 de abrilde1952(73 anos)
Associação Atlética Coruripe,,Hulk,1 de marçode2003(22 anos)
Clube Recreativo e Atlético Catalano,,Leão[4],13 de julhode1931(93 anos)[5]
Manaus Futebol Clube,Gavião Real,Gavião-real,5 de maiode2013(12 anos)
Associação Atlética Aparecidense,,Camaleão,22 de outubrode1985(39 anos)
São Raimundo Esporte Clube,,Pássaro Azul,2 de janeirode1963(62 anos)
Sousa Esporte Clube,,Dinossauro,10 de julhode1991(33 anos)
Associação Atlética de Altos,,Jacaré,19 de julhode2013(11 anos)
Araguaína Futebol e Regatas,,Touro,28 de fevereirode1997(28 anos)
Associação Desportiva Cabofriense,Tricolor Praiano,Marlim-azul,1 de janeirode1997(28 anos)
Gurupi Esporte Clube,,Camaleão,13 de junhode1988(36 anos)[2]
