ID_Jogador,Nome Completo,Data de Nascimento,Data de Falecimento,Nacionalidade
349465,Willians de Jesus,1951-08-28,N/A,Brasil
309470,Felipe Aguilar Mendoza,1993-01-20,N/A,Colômbia
570118,Ivonei Junior da Silva Rabelo,2002-04-16,N/A,Brasil
63252,Rodrigo Marcos dos Santos,1986-06-16,N/A,Brasil
32329,Willian Gomes de Siqueira,1986-11-19,N/A,Brasil
2987,Ronaldo Guiaro,1974-02-18,N/A,Brasil
5773,Sócrates Brasileiro Sampaio de Souza Vieira de Oliveira,1954-02-19,2011-12-04,Brasil
535822,Douglas da Silva Franklin,1949-09-09,N/A,Brasil
281228,Leonardo Carrilho Baptistão,1992-08-26,N/A,Brasil
473696,Hayner William Monjardim Cordeiro,1995-10-02,N/A,Brasil
201556,Renê dos Santos Junior,1989-09-16,N/A,Brasil
56484,Halisson Bruno Melo dos Santos,1985-06-28,N/A,Brasil
174750,Rubens de Jesus,1957-05-09,N/A,Brasil
467627,Nilton Orlando da Costa,1963-06-21,N/A,Brasil
553563,Tailson Pinto Gonçalves,1999-03-05,N/A,Brasil
774838,Rwan Philipe Rodrigues de Souza Cruz,2001-05-20,N/A,Brasil
97918,Alan Patrick Lourenço,1991-05-13,N/A,Brasil
12516,Márcio Ivanildo da Silva,1981-03-25,N/A,Brasil
442637,Antonio de Oliveira Filho,1955-05-27,N/A,Brasil
289105,Luis Antônio Neto,1952-11-03,N/A,Brasil
6156,Athirson Mazolli e Oliveira,1977-01-16,N/A,Brasil
17433,Carlos Germano Schwambach Neto,1970-08-14,N/A,Brasil
15330,Adesvaldo José de Lima,1962-09-17,N/A,Brasil
128386,Paulo Roberto Curtis Costa,1962-01-27,N/A,Brasil
171,Demétrios Montanini,1971-03-18,N/A,Brasil
45590,Giuliano Victor de Paula,1990-05-31,N/A,Brasil
16242,Luiz Antonio de Oliveira,1982-11-05,N/A,Brasil
5628,Luís Augusto Osório Romão,1983-11-20,N/A,Brasil
5623,Daniel Pollo Barion,1982-05-05,N/A,Brasil
12595,Marcel Augusto Ortolan,1981-11-12,N/A,Brasil
6041,Wellington Pereira do Nascimento,1983-04-22,N/A,Brasil
401043,Diederrick Joel Tagueu Tadjo,1993-12-06,N/A,Camarões
135846,Jorge Marco de Oliveira Moraes,1996-03-28,N/A,Brasil
428480,Milton da Cunha Mendonça,1956-05-23,2019-07-05,Brasil
467625,Derval Gomes,1963-01-13,N/A,Brasil
389462,Raniel Santana de Vasconcelos,1996-06-11,N/A,Brasil
5596,Luciano da Silva,1979-02-25,N/A,Brasil
5333,Cléber Américo da Conceição,1969-07-26,N/A,Brasil
559717,Lucas Lourenço Andrade,2001-01-23,N/A,Brasil
582809,Alex de Oliveira Nascimento,1999-05-10,N/A,Brasil
267537,Dalmo Gaspar,1932-10-19,2015-02-02,Brasil
85835,Ezequiel Nicolás Miralles Sabugo,1983-07-21,N/A,Argentina
193087,Emerson Palmieri dos Santos,1994-08-03,N/A,Itália
39384,Rodrigo Pereira Possebon,1989-02-13,N/A,Brasil
199639,Rogério dos Santos Seves,1976-10-11,N/A,Brasil
87783,Edgar Feliciano Baez Fernandez,1972-03-21,N/A,Paraguai
94251,Antônio Carlos Devellis,1965-12-21,N/A,Brasil
27465,Francisco Jesuíno Avanzi,1949-01-30,2008-10-08,Brasil
628336,Bruno Henrique Marques Torres,1999-02-22,N/A,Brasil
650444,Nathan Santos de Araújo,2001-09-05,N/A,Brasil
66616,Waldemar Aureliano de Oliveira Filho,1965-12-26,N/A,Brasil
790584,Weslley Pinto Batista,2003-10-01,N/A,Brasil
32450,Vitor Silva Assis de Oliveira Júnior,1986-09-15,N/A,Brasil
3095,Reinaldo Cruz de Oliveira,1979-03-14,N/A,Brasil
289106,Carlos Roberto de Carvalho,1948-05-10,N/A,Brasil
452862,Rodrigo Gomes dos Santos,1993-10-13,N/A,Brasil
5145,Ebert William Amâncio,1983-11-11,N/A,Brasil
797395,Enéas de Camargo,1955-01-16,N/A,Brasil
53970,Tiago Luís Martins,1989-03-13,N/A,Brasil
349454,Carlos de Jesus Eusébio,1951-11-06,2010-00-00,Brasil
309299,Givanildo Pulgas da Silva,1993-01-03,N/A,Brasil
267859,Geraldo Antônio Martins,1940-01-11,2018-03-30,Brasil
32216,Díonísio de Oliveira Alves,1988-01-18,N/A,Brasil
2989,Antônio Carlos Zago,1969-05-18,N/A,Brasil
5156,Fábio Alves Félix,1980-01-10,N/A,Brasil
655613,Carlos Roberto Dourado da Silva,1956-11-04,N/A,Brasil
60436,Keirrison de Souza Carneiro,1988-12-03,N/A,Brasil
32219,Fabiano Vieira Soares,1984-07-25,N/A,Brasil
179777,Paulo Luiz Beraldo Santos,1988-06-14,N/A,Brasil
93776,Cássio Alves de Barros,1970-01-17,N/A,Brasil
586092,Pedro Gabriel Pereira Lopes,1999-11-10,N/A,Brasil
194394,Teodoro Matos Santana,1946-10-22,2013-06-12,Brasil
5629,Claiton Alberto Fontoura dos Santos,1978-01-21,N/A,Brasil
88457,Ricardo Goulart Pereira,1991-06-05,N/A,Brasil
238453,Lucas Otávio Veiga Lopes,1994-10-09,N/A,Brasil
558902,João Lucas de Almeida Carvalho,1998-03-09,N/A,Brasil
491950,João Othavio Basso,1997-01-13,N/A,Brasil
75163,Victor Andrade dos Santos,1995-09-30,N/A,Brasil
10373,Alberto Luiz de Souza,1975-04-27,N/A,Brasil
442638,Paulo Batistote,1959-01-30,N/A,Brasil
