Estádio,Capacidade,Localização
N/A,N/A,"Caruaru,Pernambuco,Brasil"
Biancão[4],5000,"Ji-Paraná,Rondônia,Brasil"
Estádio João Ribeiro,10.150,"Tocantinópolis,TO"
Arena da Paz[5],N/A,"Campo Grande,Brasil[6]"
Eduardo Guinle[4],55005,"Nova Friburgo,Rio de Janeiro,Brasil"
Adauto Moraes,8.000,"Juazeiro,Bahia,Brasil"
Nilton Santos,12000,"Palmas,TO"
Zerão,13680,"Macapá,Amapá,Brasil"
Estádio Canarinho,4.5562,"Boa Vista,RR"
Flamarion Vasconcelos,45561,"Boa Vista,RR"
Estádio Felipe SantiagoPresidente VargasCastelão,2.00020.00057.220,"Fortaleza,CE"
Coronel Emílio Gomes[2][3],8.0001.2604,"Irati,Paraná,Brasil"
Fernando Charbub Farah[4][5],12.218,"Paranaguá,PR,Brasil"
Carneirão,10.9115,"Vitória de Santo Antão,Pernambuco,Brasil"
Complexo Esportivo da Ulbra,10.000,"Canoas,Rio Grande do Sul,Brasil"
Nelson Peixoto Feijó[1],10.0001,"Maceió,Alagoas,Brasil"
Estádio Regional de CambaráEstádio do Café,1500045000,N/A
Ulrico Mursa[6],7635,N/A
Estádio Domingos Silveira Gonzales[4],5.000,"Tubarão,Santa Catarina,Brasil"
Estádio Antônio Aquino Lopes (Florestão),80001,"Rio Branco,Brasil[2]"
Estádio Gerson Amaral,7000,"Coruripe,Alagoas,Brasil"
Genervino da Fonseca[6],9.0007,"Catalão,Goiás,Brasil"
N/A,N/A,"Manaus,Brasil"
Anníbal Batista de Toledo,4.800,"Aparecida de Goiânia,Goiás,Brasil"
Canarinho,4.556,"Boa Vista,RR,Brasil"
Marizão,14.000,N/A
FelipãoAlbertãoLindolfo Monteiro,40005229612760,"Altos,PI"
Mirandão,10000,"Araguaína,TO"
Correão,4200,"Cabo Frio,Brasil"
Resendão[3],4.0004,"Gurupi,Tocantins,Brasil"
Primeiro de Maio,15.159,"São Bernardo do Campo,São Paulo,Brasil"
Perpetão,12000,"Cajazeiras,PB"
Mário Pessoa,10.000,"Ilhéus,Bahia,Brasil"
Defelê,68751,"Brasília,DF,Brasil"
N/A,N/A,"Rio Branco,Brasil"
Mané Garrincha,15000,"Brasília,DF,Brasil"
Tibério Barbosa Nunes (Tiberão),4.200,"Floriano,PI"
Nicolau Alayon,10.723,"São Paulo,SP,Brasil"
Dr. Waldemiro Wagner[4],17.1474,"Paranavaí,Paraná,Brasil"
Albino Turbay,2.500,"Cianorte,PR"
Barretão,10.000,"Ceará-Mirim,RN"
Luso-Brasileiro,6.437,"Rio de Janeiro,Rio de Janeiro,Brasil"
Estádio Eliel Martins(Estádio Arena Valfredão),5.000,"Riachão do Jacuípe,BA"
Panterão,178467,"Santarém,Pará,Brasil"
Aluizão[4],2.7005,"Porto Velho,Rondônia,Brasil"
Iliê Vidal[2],N/A,"Rio Brilhante,Brasil[1]"
João Marcatto,6.0001,"Jaraguá do Sul,Santa Catarina,Brasil"
Limeirão,50391,"Sta. do Cruz do Capibaribe,Brasil"
ModelãoComplexo Esportivo do Japiim (Provisório),5.0001,N/A
Jonas Duarte,25.000,"Anápolis,Goiás,Brasil"
Mirandão,10.000,"Araguaína,Tocantins,Brasil"
Sady Arnildo Schmidt,3500,N/A
Willie Davids,23.000,N/A
Zerão,10000,"Macapá,Amapá,Brasil"
Estádio da CuruzuFrancisco Vasques,164005000,"Ananindeua,PA"
Estádio da Baixada,6.0003,"Ibirama,Santa Catarina,Brasil"
Correão,7856,"Bacabal,Maranhão,Brasil"
Juca Fortes,4.870,N/A
Waldomiro Gelinski,2.3001,"Guarapuava,PR"
Duque de Caxias,6.000,N/A
N/A,N/A,"Ceilândia,DF,Brasil"
"Estádio Municipal Governador Antônio Mariz(""Marizão"")",7000,N/A
Estádio José RosquildesEstádio Brasil de Melo,7.0006.500,"Coari,AM"
Estádio Márcio Cassiano da Silva,3000,"Jaciara,Mato Grosso,Brasil"
N/A,N/A,"Senhor do Bonfim,BA"
Perilo Teixeira,8000,N/A
Edilson Abreu,3.400,"Santa Izabel do Pará,PA"
Estádio Municipal Jerônimo Ferreira Fraga,170001,"Jataí,GO"
Não tem,N/A,"Colinas do Tocantins,TO"
Estádio Justiniano de Mello e Silva,3000,N/A
Vavazão,10.235,"Maruim,SE"
Hudson Buck Ferreira[4],N/A,"Matão,Brasil"
Estádio David Caldeira,4000,N/A
Adonir Guimarães,120002,"Planaltina,DF,Brasil"
Germano Krüger,106321,"Ponta Grossa,Brasil"
Estádio Municipal de Mucajai,1000,"Mucajaí,RR,Brasil"
Artemas Santos[1],9.1462,"Santa Inês,Maranhão,Brasil"
Luís Rios Bacurau,5000,"São Gonçalo do Amarante,Rio Grande do Norte,Brasil"
Frederico Dalmaso,7.860,N/A
Elias Gadia,2500,N/A
Arena da Floresta,137841,"Rio Branco,Brasil"
Estadio Municipal Djalma Campos,3725,"Viana,Maranhão,Brasil"
Adauto Moraes,8.000,"Juazeiro,BA"
Monumental do Sesi,3.624,"Blumenau,Santa Catarina,Brasil"
Zerão,4984,"Macapá,Amapá,Brasil"
Zerão,4984,"Macapá,Amapá,Brasil"
Elcyr Resende de Mendonça,4.315,N/A
Willie Davids,16.226,"Maringá,Paraná,Brasil"
Lomanto Júnior[5],13.0006,"Vitória da Conquista,Bahia,Brasil"
Domingão,10000,"Fortaleza,CE"
Zamão,6000,"Patos de Minas,MG"
Arena de Pernambuco,443001,"Camaragibe,Pernambuco,Brasil"
Serra do Lago,21564,"Luziânia,GO"
Manduzão,26000,"Pouso Alegre,MG"
19 de Outubro[5],3.3006,N/A
Zerão,4984,"Macapá,AP,Brasil"
Ribeirão,3000,"Boa Vista,RR"
Domingão,10500,"Horizonte,CE"
Gilbertão,15770,"Lins,São Paulo,Brasil"
Paulo Coelho,5.0001,"Petrolina,PE"
Colosso do Tapajós,8500,"Santarém,PA"
Luthero Lopes,19000,N/A
N/A,N/A,N/A
Salvador Amado,5.000,"Cristalina,Goiás,Brasil"
Fernando Lopes Ferreira,7000,"Camaçari,Bahia,Brasil"
Áureo Bradley,30002,"Arcoverde,Brasil"
BSBios Arena,3338,"Passo Fundo,RS"
Farião[2],4181,"Divinópolis,Minas Gerais,Brasil"
Zerão,4.984,"Macapá,Amapá,Brasil"
Roberto Brzezinski,3.500,N/A
Iberezão[2],7000,"Santa Cruz,RN"
Manoel Moreira Sobrinho(Sernamby),4.5001,"Bairro SernambySão Mateus,ES"
14 de Dezembro,15280,"Toledo,PR"
Humberto Parente,3100,"Abaetetuba,Pará"
Estádio Nabor Júnior (Naborzão),2.000,"Senador Guiomard,AC"
Elias Natan Coelho,1.200,"Alvorada,TO"
Adhemar de Barros,11284,"Araçatuba,SP"
Valerião,5.000,N/A
Walter Antunes[1](mando),3.500,N/A
Pitucão,4000,"Teresópolis,Brasil"
Leão do Sul,50001,"Barra Mansa,Brasil"
